edge_id,u,v,undirected_id,travel_time_min,cycle_time_h,priority
70,16,18,35,2.454,1.0,artery
71,18,16,35,7.251,1.0,artery
72,16,17,36,1.72,1.0,artery
73,17,16,36,7.434,1.0,artery
74,17,19,37,3.832,3.0,periphery
75,19,17,37,1.788,3.0,periphery
76,17,18,38,3.662,2.0,collector
77,18,17,38,4.491,2.0,collector
78,18,19,39,3.639,3.0,periphery
79,19,18,39,1.0,3.0,periphery
80,20,24,40,1.62,1.0,artery
81,24,20,40,2.16,1.0,artery
82,20,21,41,2.396,1.0,artery
83,21,20,41,3.636,1.0,artery
84,20,22,42,2.788,1.0,artery
85,22,20,42,1.125,1.0,artery
86,20,23,43,3.148,3.0,periphery
87,23,20,43,3.615,3.0,periphery
88,21,24,44,3.506,3.0,periphery
89,24,21,44,4.793,3.0,periphery
90,21,23,45,4.133,3.0,periphery
91,23,21,45,3.301,3.0,periphery
92,21,22,46,2.403,3.0,periphery
93,22,21,46,1.0,3.0,periphery
94,22,24,47,3.243,2.0,collector
95,24,22,47,2.838,2.0,collector
96,22,23,48,2.949,3.0,periphery
97,23,22,48,1.165,3.0,periphery
98,23,24,49,1.31,3.0,periphery
99,24,23,49,4.714,3.0,periphery
100,25,29,50,2.447,3.0,periphery
101,29,25,50,3.772,3.0,periphery
102,25,26,51,2.549,3.0,periphery
103,26,25,51,2.551,3.0,periphery
104,25,27,52,4.4,1.0,artery
105,27,25,52,1.839,1.0,artery
106,25,28,53,2.655,1.0,artery
107,28,25,53,1.899,1.0,artery
108,26,29,54,1.931,2.0,collector
109,29,26,54,2.082,2.0,collector
110,26,28,55,2.863,2.0,collector
111,28,26,55,1.88,2.0,collector
112,26,27,56,5.323,3.0,periphery
113,27,26,56,1.465,3.0,periphery
114,27,29,57,2.24,3.0,periphery
115,29,27,57,1.925,3.0,periphery
116,27,28,58,5.97,1.0,artery
117,28,27,58,2.819,1.0,artery
118,28,29,59,4.654,1.0,artery
119,29,28,59,1.028,1.0,artery
120,30,34,60,2.941,1.0,artery
121,34,30,60,4.273,1.0,artery
122,30,31,61,2.633,1.0,artery
123,31,30,61,4.749,1.0,artery
124,30,32,62,1.837,3.0,periphery
125,32,30,62,5.837,3.0,periphery
126,30,33,63,9.954,3.0,periphery
127,33,30,63,2.016,3.0,periphery
128,31,34,64,1.918,2.0,collector
129,34,31,64,5.993,2.0,collector
130,31,33,65,6.465,3.0,periphery
131,33,31,65,1.831,3.0,periphery
132,31,32,66,1.947,3.0,periphery
133,32,31,66,2.116,3.0,periphery
134,32,34,67,1.118,3.0,periphery
135,34,32,67,1.444,3.0,periphery
136,32,33,68,1.372,3.0,periphery
137,33,32,68,1.581,3.0,periphery
138,33,34,69,2.454,1.0,artery
139,34,33,69,2.884,1.0,artery
140,35,39,70,6.353,1.0,artery
141,39,35,70,1.377,1.0,artery
142,35,36,71,4.523,1.0,artery
143,36,35,71,2.204,1.0,artery
144,35,37,72,2.433,1.0,artery
145,37,35,72,3.757,1.0,artery
146,35,38,73,1.278,3.0,periphery
147,38,35,73,3.152,3.0,periphery
148,36,39,74,2.769,1.0,artery
149,39,36,74,3.367,1.0,artery
150,36,38,75,2.981,1.0,artery
151,38,36,75,10.933,1.0,artery
152,36,37,76,1.709,3.0,periphery
153,37,36,76,1.822,3.0,periphery
154,37,39,77,1.724,1.0,artery
155,39,37,77,1.796,1.0,artery
156,37,38,78,1.709,3.0,periphery
157,38,37,78,5.114,3.0,periphery
158,38,39,79,5.876,1.0,artery
159,39,38,79,1.779,1.0,artery
160,40,44,80,1.521,3.0,periphery
161,44,40,80,3.325,3.0,periphery
162,40,41,81,1.799,1.0,artery
163,41,40,81,3.663,1.0,artery
164,40,42,82,2.83,1.0,artery
165,42,40,82,1.009,1.0,artery
166,40,43,83,6.342,3.0,periphery
167,43,40,83,7.361,3.0,periphery
168,41,44,84,1.735,1.0,artery
169,44,41,84,1.986,1.0,artery
170,41,43,85,2.975,1.0,artery
171,43,41,85,3.063,1.0,artery
172,41,42,86,3.72,2.0,collector
173,42,41,86,8.371,2.0,collector
174,42,44,87,2.253,1.0,artery
175,44,42,87,1.552,1.0,artery
176,42,43,88,1.095,3.0,periphery
177,43,42,88,1.616,3.0,periphery
178,43,44,89,2.456,3.0,periphery
179,44,43,89,7.355,3.0,periphery
180,45,49,90,1.837,3.0,periphery
181,49,45,90,2.866,3.0,periphery
182,45,46,91,2.481,3.0,periphery
183,46,45,91,5.112,3.0,periphery
184,45,47,92,11.413,2.0,collector
185,47,45,92,1.822,2.0,collector
186,45,48,93,1.868,3.0,periphery
187,48,45,93,4.688,3.0,periphery
188,46,49,94,3.773,1.0,artery
189,49,46,94,7.589,1.0,artery
190,46,48,95,3.557,1.0,artery
191,48,46,95,2.02,1.0,artery
192,46,47,96,3.572,3.0,periphery
193,47,46,96,4.874,3.0,periphery
194,47,49,97,4.1,3.0,periphery
195,49,47,97,3.397,3.0,periphery
196,47,48,98,4.752,1.0,artery
197,48,47,98,5.054,1.0,artery
198,48,49,99,5.743,3.0,periphery
199,49,48,99,3.698,3.0,periphery
200,50,54,100,2.267,1.0,artery
201,54,50,100,2.736,1.0,artery
202,50,51,101,5.168,1.0,artery
203,51,50,101,1.535,1.0,artery
204,50,52,102,3.126,3.0,periphery
205,52,50,102,1.979,3.0,periphery
206,50,53,103,2.549,2.0,collector
207,53,50,103,5.396,2.0,collector
208,51,54,104,2.81,3.0,periphery
209,54,51,104,2.577,3.0,periphery
210,51,53,105,1.108,1.0,artery
211,53,51,105,3.921,1.0,artery
212,51,52,106,3.691,1.0,artery
213,52,51,106,9.176,1.0,artery
214,52,54,107,2.083,1.0,artery
215,54,52,107,2.858,1.0,artery
216,52,53,108,2.91,3.0,periphery
217,53,52,108,6.456,3.0,periphery
218,53,54,109,2.367,1.0,artery
219,54,53,109,2.962,1.0,artery
220,55,59,110,3.609,3.0,periphery
221,59,55,110,2.803,3.0,periphery
222,55,56,111,1.917,2.0,collector
223,56,55,111,2.815,2.0,collector
224,55,57,112,4.772,1.0,artery
225,57,55,112,1.354,1.0,artery
226,55,58,113,2.714,2.0,collector
227,58,55,113,1.646,2.0,collector
228,56,59,114,5.133,3.0,periphery
229,59,56,114,1.005,3.0,periphery
230,56,58,115,1.792,3.0,periphery
231,58,56,115,3.142,3.0,periphery
232,56,57,116,6.41,2.0,collector
233,57,56,116,2.409,2.0,collector
234,57,59,117,1.796,3.0,periphery
235,59,57,117,7.747,3.0,periphery
236,57,58,118,1.051,2.0,collector
237,58,57,118,1.0,2.0,collector
238,58,59,119,3.263,3.0,periphery
239,59,58,119,1.854,3.0,periphery
240,60,64,120,1.358,3.0,periphery
241,64,60,120,3.833,3.0,periphery
242,60,61,121,2.901,3.0,periphery
243,61,60,121,1.786,3.0,periphery
244,60,62,122,1.162,3.0,periphery
245,62,60,122,4.23,3.0,periphery
246,60,63,123,3.701,3.0,periphery
247,63,60,123,2.361,3.0,periphery
248,61,64,124,7.588,3.0,periphery
249,64,61,124,1.319,3.0,periphery
250,61,63,125,1.003,3.0,periphery
251,63,61,125,1.654,3.0,periphery
252,61,62,126,2.438,3.0,periphery
253,62,61,126,2.9,3.0,periphery
254,62,64,127,2.168,1.0,artery
255,64,62,127,3.095,1.0,artery
256,62,63,128,1.183,3.0,periphery
257,63,62,128,5.959,3.0,periphery
258,63,64,129,2.385,3.0,periphery
259,64,63,129,4.899,3.0,periphery
260,65,69,130,3.078,3.0,periphery
261,69,65,130,3.296,3.0,periphery
262,65,66,131,3.527,3.0,periphery
263,66,65,131,3.278,3.0,periphery
264,65,67,132,3.685,3.0,periphery
265,67,65,132,5.563,3.0,periphery
266,65,68,133,2.819,2.0,collector
267,68,65,133,3.834,2.0,collector
268,66,69,134,2.374,2.0,collector
269,69,66,134,5.946,2.0,collector
270,66,68,135,1.67,3.0,periphery
271,68,66,135,7.383,3.0,periphery
272,66,67,136,2.446,1.0,artery
273,67,66,136,1.062,1.0,artery
274,67,69,137,2.706,3.0,periphery
275,69,67,137,1.665,3.0,periphery
276,67,68,138,4.15,1.0,artery
277,68,67,138,1.694,1.0,artery
278,68,69,139,1.917,3.0,periphery
279,69,68,139,1.0,3.0,periphery
280,70,74,140,1.91,3.0,periphery
281,74,70,140,1.0,3.0,periphery
282,70,71,141,1.0,3.0,periphery
283,71,70,141,3.955,3.0,periphery
284,70,72,142,4.015,1.0,artery
285,72,70,142,3.235,1.0,artery
286,70,73,143,1.403,1.0,artery
287,73,70,143,2.435,1.0,artery
288,71,74,144,2.5,3.0,periphery
289,74,71,144,1.251,3.0,periphery
290,71,73,145,6.176,3.0,periphery
291,73,71,145,4.242,3.0,periphery
292,71,72,146,2.195,1.0,artery
293,72,71,146,2.547,1.0,artery
294,72,74,147,2.84,1.0,artery
295,74,72,147,1.0,1.0,artery
296,72,73,148,2.16,3.0,periphery
297,73,72,148,1.664,3.0,periphery
298,73,74,149,1.374,3.0,periphery
299,74,73,149,2.117,3.0,periphery
300,75,79,150,7.369,3.0,periphery
301,79,75,150,3.681,3.0,periphery
302,75,76,151,1.779,1.0,artery
303,76,75,151,3.533,1.0,artery
304,75,77,152,5.802,3.0,periphery
305,77,75,152,4.364,3.0,periphery
306,75,78,153,2.597,1.0,artery
307,78,75,153,1.7,1.0,artery
308,76,79,154,3.81,2.0,collector
309,79,76,154,3.173,2.0,collector
310,76,78,155,4.288,3.0,periphery
311,78,76,155,3.668,3.0,periphery
312,76,77,156,4.704,3.0,periphery
313,77,76,156,1.818,3.0,periphery
314,77,79,157,5.524,3.0,periphery
315,79,77,157,2.821,3.0,periphery
316,77,78,158,8.704,1.0,artery
317,78,77,158,1.657,1.0,artery
318,78,79,159,7.101,3.0,periphery
319,79,78,159,2.822,3.0,periphery
320,80,84,160,1.695,1.0,artery
321,84,80,160,1.874,1.0,artery
322,80,81,161,2.068,1.0,artery
323,81,80,161,3.232,1.0,artery
324,80,82,162,3.429,1.0,artery
325,82,80,162,1.776,1.0,artery
326,80,83,163,2.469,1.0,artery
327,83,80,163,9.061,1.0,artery
328,81,84,164,7.065,3.0,periphery
329,84,81,164,3.256,3.0,periphery
330,81,83,165,2.564,1.0,artery
331,83,81,165,2.693,1.0,artery
332,81,82,166,3.621,1.0,artery
333,82,81,166,1.357,1.0,artery
334,82,84,167,2.147,3.0,periphery
335,84,82,167,1.0,3.0,periphery
336,82,83,168,3.184,3.0,periphery
337,83,82,168,3.695,3.0,periphery
338,83,84,169,1.875,2.0,collector
339,84,83,169,6.443,2.0,collector
340,85,89,170,1.201,3.0,periphery
341,89,85,170,1.041,3.0,periphery
342,85,86,171,2.867,1.0,artery
343,86,85,171,4.697,1.0,artery
344,85,87,172,6.882,3.0,periphery
345,87,85,172,1.903,3.0,periphery
346,85,88,173,4.787,3.0,periphery
347,88,85,173,2.449,3.0,periphery
348,86,89,174,2.259,3.0,periphery
349,89,86,174,4.258,3.0,periphery
350,86,88,175,3.706,3.0,periphery
351,88,86,175,1.0,3.0,periphery
352,86,87,176,6.077,3.0,periphery
353,87,86,176,5.735,3.0,periphery
354,87,89,177,1.722,3.0,periphery
355,89,87,177,3.177,3.0,periphery
356,87,88,178,3.37,1.0,artery
357,88,87,178,2.93,1.0,artery
358,88,89,179,1.801,1.0,artery
359,89,88,179,1.675,1.0,artery
360,90,94,180,2.468,3.0,periphery
361,94,90,180,5.064,3.0,periphery
362,90,91,181,3.472,3.0,periphery
363,91,90,181,2.006,3.0,periphery
364,90,92,182,3.981,3.0,periphery
365,92,90,182,1.0,3.0,periphery
366,90,93,183,4.992,3.0,periphery
367,93,90,183,1.0,3.0,periphery
368,91,94,184,2.016,3.0,periphery
369,94,91,184,1.28,3.0,periphery
370,91,93,185,1.152,3.0,periphery
371,93,91,185,5.028,3.0,periphery
372,91,92,186,1.893,1.0,artery
373,92,91,186,3.085,1.0,artery
374,92,94,187,2.436,3.0,periphery
375,94,92,187,3.336,3.0,periphery
376,92,93,188,2.624,3.0,periphery
377,93,92,188,1.16,3.0,periphery
378,93,94,189,4.556,3.0,periphery
379,94,93,189,1.863,3.0,periphery
380,95,99,190,1.0,3.0,periphery
381,99,95,190,1.938,3.0,periphery
382,95,96,191,6.166,3.0,periphery
383,96,95,191,4.173,3.0,periphery
384,95,97,192,2.033,3.0,periphery
385,97,95,192,2.032,3.0,periphery
386,95,98,193,2.066,3.0,periphery
387,98,95,193,8.712,3.0,periphery
388,96,99,194,3.151,1.0,artery
389,99,96,194,3.243,1.0,artery
390,96,98,195,4.65,1.0,artery
391,98,96,195,2.892,1.0,artery
392,96,97,196,2.145,2.0,collector
393,97,96,196,2.227,2.0,collector
394,97,99,197,2.4,3.0,periphery
395,99,97,197,2.45,3.0,periphery
396,97,98,198,3.877,3.0,periphery
397,98,97,198,2.585,3.0,periphery
398,98,99,199,3.889,3.0,periphery
399,99,98,199,2.387,3.0,periphery
400,100,104,200,2.627,1.0,artery
401,104,100,200,1.0,1.0,artery
402,100,101,201,4.342,3.0,periphery
403,101,100,201,3.085,3.0,periphery
404,100,102,202,4.56,2.0,collector
405,102,100,202,1.0,2.0,collector
406,100,103,203,8.773,1.0,artery
407,103,100,203,2.304,1.0,artery
408,101,104,204,4.872,1.0,artery
409,104,101,204,1.343,1.0,artery
410,101,103,205,3.619,3.0,periphery
411,103,101,205,1.332,3.0,periphery
412,101,102,206,1.723,3.0,periphery
413,102,101,206,7.901,3.0,periphery
414,102,104,207,2.235,3.0,periphery
415,104,102,207,2.855,3.0,periphery
416,102,103,208,4.223,3.0,periphery
417,103,102,208,3.374,3.0,periphery
418,103,104,209,2.742,3.0,periphery
419,104,103,209,3.119,3.0,periphery
420,105,109,210,10.598,2.0,collector
421,109,105,210,2.421,2.0,collector
422,105,106,211,2.827,3.0,periphery
423,106,105,211,4.707,3.0,periphery
424,105,107,212,4.864,3.0,periphery
425,107,105,212,5.108,3.0,periphery
426,105,108,213,3.676,1.0,artery
427,108,105,213,1.262,1.0,artery
428,106,109,214,6.677,3.0,periphery
429,109,106,214,1.26,3.0,periphery
430,106,108,215,3.005,1.0,artery
431,108,106,215,1.594,1.0,artery
432,106,107,216,2.411,2.0,collector
433,107,106,216,3.052,2.0,collector
434,107,109,217,3.039,3.0,periphery
435,109,107,217,3.228,3.0,periphery
436,107,108,218,6.598,3.0,periphery
437,108,107,218,3.289,3.0,periphery
438,108,109,219,2.164,2.0,collector
439,109,108,219,4.469,2.0,collector
440,110,114,220,5.116,1.0,artery
441,114,110,220,1.2,1.0,artery
442,110,111,221,3.586,2.0,collector
443,111,110,221,3.816,2.0,collector
444,110,112,222,2.096,3.0,periphery
445,112,110,222,5.72,3.0,periphery
446,110,113,223,2.29,3.0,periphery
447,113,110,223,2.702,3.0,periphery
448,111,114,224,2.259,3.0,periphery
449,114,111,224,2.529,3.0,periphery
450,111,113,225,1.298,1.0,artery
451,113,111,225,1.056,1.0,artery
452,111,112,226,6.523,1.0,artery
453,112,111,226,1.507,1.0,artery
454,112,114,227,1.382,1.0,artery
455,114,112,227,1.0,1.0,artery
456,112,113,228,1.708,3.0,periphery
457,113,112,228,1.133,3.0,periphery
458,113,114,229,6.711,3.0,periphery
459,114,113,229,4.593,3.0,periphery
460,115,119,230,1.658,3.0,periphery
461,119,115,230,9.68,3.0,periphery
462,115,116,231,4.516,1.0,artery
463,116,115,231,2.062,1.0,artery
464,115,117,232,1.0,3.0,periphery
465,117,115,232,9.906,3.0,periphery
466,115,118,233,1.089,3.0,periphery
467,118,115,233,1.0,3.0,periphery
468,116,119,234,4.628,1.0,artery
469,119,116,234,10.832,1.0,artery
470,116,118,235,5.75,3.0,periphery
471,118,116,235,3.515,3.0,periphery
472,116,117,236,3.58,1.0,artery
473,117,116,236,4.181,1.0,artery
474,117,119,237,3.951,3.0,periphery
475,119,117,237,2.966,3.0,periphery
476,117,118,238,2.667,1.0,artery
477,118,117,238,2.413,1.0,artery
478,118,119,239,1.594,3.0,periphery
479,119,118,239,2.117,3.0,periphery
480,120,124,240,1.0,3.0,periphery
481,124,120,240,2.362,3.0,periphery
482,120,121,241,1.385,1.0,artery
483,121,120,241,1.292,1.0,artery
484,120,122,242,2.791,2.0,collector
485,122,120,242,5.777,2.0,collector
486,120,123,243,4.348,1.0,artery
487,123,120,243,1.0,1.0,artery
488,121,124,244,1.384,1.0,artery
489,124,121,244,4.406,1.0,artery
490,121,123,245,1.39,1.0,artery
491,123,121,245,2.19,1.0,artery
492,121,122,246,3.486,3.0,periphery
493,122,121,246,1.402,3.0,periphery
494,122,124,247,2.669,3.0,periphery
495,124,122,247,1.125,3.0,periphery
496,122,123,248,1.747,3.0,periphery
497,123,122,248,3.036,3.0,periphery
498,123,124,249,1.0,1.0,artery
499,124,123,249,3.264,1.0,artery
500,125,129,250,2.476,2.0,collector
501,129,125,250,3.491,2.0,collector
502,125,126,251,2.866,3.0,periphery
503,126,125,251,5.681,3.0,periphery
504,125,127,252,2.701,1.0,artery
505,127,125,252,1.937,1.0,artery
506,125,128,253,2.697,3.0,periphery
507,128,125,253,3.472,3.0,periphery
508,126,129,254,2.58,3.0,periphery
509,129,126,254,2.568,3.0,periphery
510,126,128,255,1.644,3.0,periphery
511,128,126,255,1.683,3.0,periphery
512,126,127,256,1.08,3.0,periphery
513,127,126,256,7.159,3.0,periphery
514,127,129,257,1.188,3.0,periphery
515,129,127,257,1.653,3.0,periphery
516,127,128,258,1.628,3.0,periphery
517,128,127,258,4.287,3.0,periphery
518,128,129,259,2.099,1.0,artery
519,129,128,259,5.298,1.0,artery
520,130,134,260,1.673,1.0,artery
521,134,130,260,2.962,1.0,artery
522,130,131,261,1.518,3.0,periphery
523,131,130,261,9.077,3.0,periphery
524,130,132,262,1.229,2.0,collector
525,132,130,262,3.018,2.0,collector
526,130,133,263,3.665,3.0,periphery
527,133,130,263,3.212,3.0,periphery
528,131,134,264,2.242,3.0,periphery
529,134,131,264,2.318,3.0,periphery
530,131,133,265,2.573,3.0,periphery
531,133,131,265,2.294,3.0,periphery
532,131,132,266,4.468,1.0,artery
533,132,131,266,9.44,1.0,artery
534,132,134,267,1.793,3.0,periphery
535,134,132,267,1.102,3.0,periphery
536,132,133,268,2.377,1.0,artery
537,133,132,268,11.78,1.0,artery
538,133,134,269,1.547,3.0,periphery
539,134,133,269,6.7,3.0,periphery
540,135,139,270,6.857,3.0,periphery
541,139,135,270,1.798,3.0,periphery
542,135,136,271,3.525,3.0,periphery
543,136,135,271,6.657,3.0,periphery
544,135,137,272,1.996,1.0,artery
545,137,135,272,2.218,1.0,artery
546,135,138,273,1.768,3.0,periphery
547,138,135,273,1.363,3.0,periphery
548,136,139,274,1.697,1.0,artery
549,139,136,274,1.202,1.0,artery
550,136,138,275,2.558,1.0,artery
551,138,136,275,1.579,1.0,artery
552,136,137,276,2.883,3.0,periphery
553,137,136,276,1.0,3.0,periphery
554,137,139,277,3.056,1.0,artery
555,139,137,277,4.132,1.0,artery
556,137,138,278,1.0,1.0,artery
557,138,137,278,3.136,1.0,artery
558,138,139,279,5.234,1.0,artery
559,139,138,279,1.213,1.0,artery
560,140,144,280,6.836,3.0,periphery
561,144,140,280,3.222,3.0,periphery
562,140,141,281,1.641,1.0,artery
563,141,140,281,2.423,1.0,artery
564,140,142,282,3.503,3.0,periphery
565,142,140,282,2.623,3.0,periphery
566,140,143,283,3.462,3.0,periphery
567,143,140,283,1.442,3.0,periphery
568,141,144,284,2.774,1.0,artery
569,144,141,284,1.073,1.0,artery
570,141,143,285,2.344,3.0,periphery
571,143,141,285,1.457,3.0,periphery
572,141,142,286,1.612,1.0,artery
573,142,141,286,5.261,1.0,artery
574,142,144,287,4.823,1.0,artery
575,144,142,287,3.611,1.0,artery
576,142,143,288,1.301,3.0,periphery
577,143,142,288,2.073,3.0,periphery
578,143,144,289,5.189,3.0,periphery
579,144,143,289,2.728,3.0,periphery
580,145,149,290,10.077,3.0,periphery
581,149,145,290,3.173,3.0,periphery
582,145,146,291,2.812,3.0,periphery
583,146,145,291,2.082,3.0,periphery
584,145,147,292,2.715,1.0,artery
585,147,145,292,2.287,1.0,artery
586,145,148,293,3.832,3.0,periphery
587,148,145,293,4.449,3.0,periphery
588,146,149,294,1.564,1.0,artery
589,149,146,294,1.127,1.0,artery
590,146,148,295,1.0,3.0,periphery
591,148,146,295,3.399,3.0,periphery
592,146,147,296,1.293,3.0,periphery
593,147,146,296,1.0,3.0,periphery
594,147,149,297,3.164,3.0,periphery
595,149,147,297,11.183,3.0,periphery
596,147,148,298,2.497,2.0,collector
597,148,147,298,4.144,2.0,collector
598,148,149,299,2.632,3.0,periphery
599,149,148,299,2.361,3.0,periphery
600,150,154,300,4.349,1.0,artery
601,154,150,300,2.105,1.0,artery
602,150,151,301,2.942,3.0,periphery
603,151,150,301,3.039,3.0,periphery
604,150,152,302,1.678,3.0,periphery
605,152,150,302,4.544,3.0,periphery
606,150,153,303,2.256,3.0,periphery
607,153,150,303,1.592,3.0,periphery
608,151,154,304,3.457,1.0,artery
609,154,151,304,1.462,1.0,artery
610,151,153,305,2.549,3.0,periphery
611,153,151,305,2.492,3.0,periphery
612,151,152,306,4.807,3.0,periphery
613,152,151,306,3.332,3.0,periphery
614,152,154,307,2.468,1.0,artery
615,154,152,307,4.093,1.0,artery
616,152,153,308,5.77,3.0,periphery
617,153,152,308,3.502,3.0,periphery
618,153,154,309,2.521,3.0,periphery
619,154,153,309,1.141,3.0,periphery
620,155,159,310,1.323,3.0,periphery
621,159,155,310,2.086,3.0,periphery
622,155,156,311,1.738,3.0,periphery
623,156,155,311,2.24,3.0,periphery
624,155,157,312,2.592,3.0,periphery
625,157,155,312,3.443,3.0,periphery
626,155,158,313,2.402,3.0,periphery
627,158,155,313,3.355,3.0,periphery
628,156,159,314,2.605,3.0,periphery
629,159,156,314,1.0,3.0,periphery
630,156,158,315,1.426,3.0,periphery
631,158,156,315,2.298,3.0,periphery
632,156,157,316,1.213,3.0,periphery
633,157,156,316,3.591,3.0,periphery
634,157,159,317,6.278,1.0,artery
635,159,157,317,5.206,1.0,artery
636,157,158,318,2.205,2.0,collector
637,158,157,318,6.129,2.0,collector
638,158,159,319,2.74,1.0,artery
639,159,158,319,2.047,1.0,artery
640,160,164,320,1.734,3.0,periphery
641,164,160,320,2.09,3.0,periphery
642,160,161,321,1.985,3.0,periphery
643,161,160,321,2.776,3.0,periphery
644,160,162,322,2.759,3.0,periphery
645,162,160,322,2.51,3.0,periphery
646,160,163,323,3.257,3.0,periphery
647,163,160,323,5.119,3.0,periphery
648,161,164,324,4.43,1.0,artery
649,164,161,324,1.028,1.0,artery
650,161,163,325,1.0,3.0,periphery
651,163,161,325,4.389,3.0,periphery
652,161,162,326,1.103,3.0,periphery
653,162,161,326,2.19,3.0,periphery
654,162,164,327,1.242,3.0,periphery
655,164,162,327,1.0,3.0,periphery
656,162,163,328,3.468,2.0,collector
657,163,162,328,3.952,2.0,collector
658,163,164,329,1.773,3.0,periphery
659,164,163,329,1.0,3.0,periphery
660,165,169,330,1.806,3.0,periphery
661,169,165,330,3.17,3.0,periphery
662,165,166,331,1.032,3.0,periphery
663,166,165,331,2.797,3.0,periphery
664,165,167,332,2.483,2.0,collector
665,167,165,332,3.547,2.0,collector
666,165,168,333,2.692,3.0,periphery
667,168,165,333,1.398,3.0,periphery
668,166,169,334,5.137,3.0,periphery
669,169,166,334,2.278,3.0,periphery
670,166,168,335,2.465,2.0,collector
671,168,166,335,1.431,2.0,collector
672,166,167,336,1.921,3.0,periphery
673,167,166,336,1.474,3.0,periphery
674,167,169,337,2.259,1.0,artery
675,169,167,337,6.998,1.0,artery
676,167,168,338,1.1,3.0,periphery
677,168,167,338,1.0,3.0,periphery
678,168,169,339,6.058,1.0,artery
679,169,168,339,2.21,1.0,artery
680,170,174,340,1.677,2.0,collector
681,174,170,340,4.677,2.0,collector
682,170,171,341,1.742,3.0,periphery
683,171,170,341,7.495,3.0,periphery
684,170,172,342,3.764,3.0,periphery
685,172,170,342,1.87,3.0,periphery
686,170,173,343,9.143,3.0,periphery
687,173,170,343,1.742,3.0,periphery
688,171,174,344,3.911,1.0,artery
689,174,171,344,2.999,1.0,artery
690,171,173,345,5.472,1.0,artery
691,173,171,345,6.395,1.0,artery
692,171,172,346,2.554,3.0,periphery
693,172,171,346,1.595,3.0,periphery
694,172,174,347,3.302,3.0,periphery
695,174,172,347,1.669,3.0,periphery
696,172,173,348,8.387,1.0,artery
697,173,172,348,2.72,1.0,artery
698,173,174,349,2.013,3.0,periphery
699,174,173,349,2.799,3.0,periphery
700,175,179,350,1.117,3.0,periphery
701,179,175,350,1.399,3.0,periphery
702,175,176,351,5.149,3.0,periphery
703,176,175,351,1.69,3.0,periphery
704,175,177,352,1.337,1.0,artery
705,177,175,352,3.458,1.0,artery
706,175,178,353,5.104,3.0,periphery
707,178,175,353,3.857,3.0,periphery
708,176,179,354,4.555,1.0,artery
709,179,176,354,1.591,1.0,artery
710,176,178,355,1.068,3.0,periphery
